name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nicosia,2018-02-11,18.8,11.8,14.8,18.8,11.8,14.8,10.3,74.9,0,0,0,,0,0,,22.9,239.7,1009.8,80.4,8,56.5,4.9,2,,2018-02-11T06:37:07,2018-02-11T17:24:52,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-12,16.4,9.1,12.5,16.4,9.1,12.5,7.2,71.2,0,0,0,,0,0,,22,227.6,1013,77.7,9.2,70.3,6,3,,2018-02-12T06:36:07,2018-02-12T17:25:51,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-13,17.3,7.1,11.6,17.3,6.4,11.4,5.5,67.3,1.843,100,12.5,rain,0,0,,32.9,230.3,1015.6,34.9,10,163.4,14.2,6,,2018-02-13T06:35:06,2018-02-13T17:26:51,0.92,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-14,18.2,4.1,11.5,18.2,4.1,11.3,4.7,66.5,0.09,100,4.17,rain,0,0,,9.5,246.5,1021.5,57.8,10,143.9,12.4,5,,2018-02-14T06:34:04,2018-02-14T17:27:50,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"17530099999,LCEN,17510099999,17601099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-15,18.5,6.5,12,18.5,6,11.9,7.5,75.6,0,0,0,,0,0,,19.1,31.7,1020.6,62.4,10,90.6,7.8,4,,2018-02-15T06:33:00,2018-02-15T17:28:48,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-16,18.2,10.9,14.9,18.2,10.9,14.9,8.3,66.1,0,0,0,,0,0,,33.1,40.7,1016.3,72.6,10,133.1,11.5,5,,2018-02-16T06:31:55,2018-02-16T17:29:47,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17540099999,LCEN,17510099999,17601099999,17607499999,17505099999,17609099999,17515099999"
Nicosia,2018-02-17,15.4,11.8,13.9,15.4,11.8,13.9,9.6,75.4,9.375,100,12.5,rain,0,0,57.6,26.5,300.5,1012.4,82.2,9.5,39.5,3.5,2,,2018-02-17T06:30:49,2018-02-17T17:30:45,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-18,18.7,9.7,14.7,18.7,9.7,14.7,6.8,62.5,0,0,0,,0,0,,25.5,270,1012.5,11.7,10,208.6,18,7,,2018-02-18T06:29:42,2018-02-18T17:31:42,0.09,Clear,Clear conditions throughout the day.,clear-day,"17530099999,LCEN,17510099999,17601099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-19,17.2,3.9,11.4,17.2,3.9,11.4,6.4,72.6,0,0,0,,0,0,,18.1,21,1016.6,54,10,165.8,14.4,6,,2018-02-19T06:28:34,2018-02-19T17:32:39,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17540099999,LCEN,17510099999,17601099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-20,18.6,9.2,13.4,18.6,9.2,13.4,8.9,75.9,0.004,100,4.17,rain,0,0,,14.5,69.4,1015.3,78.1,10,168.6,14.5,7,,2018-02-20T06:27:25,2018-02-20T17:33:36,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"17530099999,LCEN,17540099999,17510099999,17601099999,17607499999,17505099999,17609099999,17515099999,17535099999"
